Question,Answer
What is a First Information Report (FIR) and how do I file one in India? (variant 1),An FIR is the first step to reporting a cognizable offense. You file it at the nearest police station by giving a written or verbal complaint.
What are the grounds for divorce under the Hindu Marriage Act? (variant 1),"Grounds include cruelty, adultery, desertion for two years, conversion to another religion, and more as specified in the Act."
How can I register my marriage under the Special Marriage Act? (variant 1),"File a 30-day notice with the Marriage Registrar along with identity documents. If no objections arise, the marriage is registered."
What rights do consumers have under the Consumer Protection Act? (variant 1),"Rights to safety, information, choice, redressal, consumer education, and protection against unfair trade practices."
How can I apply for a copy of my property sale deed? (variant 1),Visit the Sub-Registrar Office where the property is registered and submit an application with necessary details and fees.
What is anticipatory bail and how do I apply for it? (variant 1),Anticipatory bail protects you from arrest for an anticipated offense. Apply in court before arrest.
How do I make a valid will in India? (variant 1),"A will must be in writing, signed by the testator and witnessed by at least two people."
What constitutes a valid contract? (variant 1),"Offer, acceptance, lawful consideration, free consent, capacity, and lawful object."
What legal protections exist against domestic violence? (variant 1),"The Protection of Women from Domestic Violence Act offers protection orders, residence rights, and maintenance."
How do I file a cybercrime complaint? (variant 1),File online at the National Cyber Crime Reporting Portal or at a cybercrime police station.
What is a First Information Report (FIR) and how do I file one in India? (variant 2),An FIR is the first step to reporting a cognizable offense. You file it at the nearest police station by giving a written or verbal complaint.
What are the grounds for divorce under the Hindu Marriage Act? (variant 2),"Grounds include cruelty, adultery, desertion for two years, conversion to another religion, and more as specified in the Act."
How can I register my marriage under the Special Marriage Act? (variant 2),"File a 30-day notice with the Marriage Registrar along with identity documents. If no objections arise, the marriage is registered."
What rights do consumers have under the Consumer Protection Act? (variant 2),"Rights to safety, information, choice, redressal, consumer education, and protection against unfair trade practices."
How can I apply for a copy of my property sale deed? (variant 2),Visit the Sub-Registrar Office where the property is registered and submit an application with necessary details and fees.
What is anticipatory bail and how do I apply for it? (variant 2),Anticipatory bail protects you from arrest for an anticipated offense. Apply in court before arrest.
How do I make a valid will in India? (variant 2),"A will must be in writing, signed by the testator and witnessed by at least two people."
What constitutes a valid contract? (variant 2),"Offer, acceptance, lawful consideration, free consent, capacity, and lawful object."
What legal protections exist against domestic violence? (variant 2),"The Protection of Women from Domestic Violence Act offers protection orders, residence rights, and maintenance."
How do I file a cybercrime complaint? (variant 2),File online at the National Cyber Crime Reporting Portal or at a cybercrime police station.
What is a First Information Report (FIR) and how do I file one in India? (variant 3),An FIR is the first step to reporting a cognizable offense. You file it at the nearest police station by giving a written or verbal complaint.
What are the grounds for divorce under the Hindu Marriage Act? (variant 3),"Grounds include cruelty, adultery, desertion for two years, conversion to another religion, and more as specified in the Act."
How can I register my marriage under the Special Marriage Act? (variant 3),"File a 30-day notice with the Marriage Registrar along with identity documents. If no objections arise, the marriage is registered."
What rights do consumers have under the Consumer Protection Act? (variant 3),"Rights to safety, information, choice, redressal, consumer education, and protection against unfair trade practices."
How can I apply for a copy of my property sale deed? (variant 3),Visit the Sub-Registrar Office where the property is registered and submit an application with necessary details and fees.
What is anticipatory bail and how do I apply for it? (variant 3),Anticipatory bail protects you from arrest for an anticipated offense. Apply in court before arrest.
How do I make a valid will in India? (variant 3),"A will must be in writing, signed by the testator and witnessed by at least two people."
What constitutes a valid contract? (variant 3),"Offer, acceptance, lawful consideration, free consent, capacity, and lawful object."
What legal protections exist against domestic violence? (variant 3),"The Protection of Women from Domestic Violence Act offers protection orders, residence rights, and maintenance."
How do I file a cybercrime complaint? (variant 3),File online at the National Cyber Crime Reporting Portal or at a cybercrime police station.
What is a First Information Report (FIR) and how do I file one in India? (variant 4),An FIR is the first step to reporting a cognizable offense. You file it at the nearest police station by giving a written or verbal complaint.
What are the grounds for divorce under the Hindu Marriage Act? (variant 4),"Grounds include cruelty, adultery, desertion for two years, conversion to another religion, and more as specified in the Act."
How can I register my marriage under the Special Marriage Act? (variant 4),"File a 30-day notice with the Marriage Registrar along with identity documents. If no objections arise, the marriage is registered."
What rights do consumers have under the Consumer Protection Act? (variant 4),"Rights to safety, information, choice, redressal, consumer education, and protection against unfair trade practices."
How can I apply for a copy of my property sale deed? (variant 4),Visit the Sub-Registrar Office where the property is registered and submit an application with necessary details and fees.
What is anticipatory bail and how do I apply for it? (variant 4),Anticipatory bail protects you from arrest for an anticipated offense. Apply in court before arrest.
How do I make a valid will in India? (variant 4),"A will must be in writing, signed by the testator and witnessed by at least two people."
What constitutes a valid contract? (variant 4),"Offer, acceptance, lawful consideration, free consent, capacity, and lawful object."
What legal protections exist against domestic violence? (variant 4),"The Protection of Women from Domestic Violence Act offers protection orders, residence rights, and maintenance."
How do I file a cybercrime complaint? (variant 4),File online at the National Cyber Crime Reporting Portal or at a cybercrime police station.
What is a First Information Report (FIR) and how do I file one in India? (variant 5),An FIR is the first step to reporting a cognizable offense. You file it at the nearest police station by giving a written or verbal complaint.
